Issues in test steps,Issues in assertions,https://github.com/testdouble/test-smells,A workbook repository of example test smells and what to do about them,webpage,Test Smell,7 layer testing,7 Layer Testing,,"Numerous tests depend on the functionality of a single unit, typically incidentally. A single change in the code often breaks many tests in the build. Often exhibits itself when a team finds that even trivial changes to a system results in exorbitant effort to get back to a green build.",TRUE,TRUE,FALSE
Issues in test steps,Issues in teardown,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.144.6997&rep=rep1&type=pdf,Pattern-based Smell Detection in TTCN-3 Test Suites,webpage,Test Smell,activation asymmetry,Activation Asymmetry,,"A default activation has no matching subsequent deactivation in the same statement block, or a deactivation has no matching previous activation.",TRUE,TRUE,FALSE
,,https://link.springer.com/article/10.1007/s10009-008-0075-0,An approach to quality engineering of TTCN-3 test specifications,article,Test Smell,,Activation asymmetry,,"a default activation has no matching subsequent deactivation in the same statement block, or a deactivation has no matching previous activation",FALSE,FALSE,FALSE
,,https://link.springer.com/chapter/10.1007/978-3-540-73066-8_16,Utilising Code Smells to Detect Quality Problems in TTCN-3 Test Suites,paper,Test Smell,,Activation Asymmetry,,"A default activation has no matching subsequent deactivation in the same statement block, or a deactivation has no matching previous activation.",FALSE,FALSE,TRUE
Code related,Violating coding best practices,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.144.9594,Assessing test quality ‐ TestLint,webpage,Test Smell,anonymous test,Anonymous Test,,"An anonymous test is a test whose name is meaningless as it doesn't express the purpose of the test in the current context. However tests can be regarded as documentation, and the name is an important part of that as it should abstract what the test is all about.",TRUE,TRUE,FALSE
,,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.696.5180&rep=rep1&type=pdf,Categorising Test Smells,thesis,Test Smell,,Anonymous Test,"Unclear Naming, Naming Convention Violation",The test name is meaningless and does not reveal the intent of it.,FALSE,FALSE,TRUE
,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.108.3631&rep=rep1&type=pdf,Rule-based Assessment of Test Quality,article,Test Smell,,Anonymous Test,,Test-methods having a meaningless name,FALSE,FALSE,TRUE
,,https://dl.acm.org/doi/10.1145/3463274.3463335,Test Smell Detection Tools: A Systematic Mapping Study,paper,Test Smell,,Anonymous Test,,A test method with a meaningless and unclear method name,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.159.6145&rep=rep1&type=pdf,Parameterized Test Patterns For Effective Testing with Pex,webpage,Test Smell,asserting pre-condition and invariants,Asserting Pre-condition and Invariants,,"Using the same API to express pre-conditions (i.e. argument validation), post-conditions, invariants, and assertions.",TRUE,TRUE,FALSE
Issues in test steps,Issues in assertions,https://codingcraftsman.wordpress.com/2018/09/27/test-smells/,Test Smells - The Coding Craftsman,webpage,Test Smell,assertion diversion,Assertion diversion,,"where the wrong sort of assert is used, thus making a test failure harder to understand",TRUE,FALSE,FALSE
Test semantic/logic,Testing many things,https://dl.acm.org/doi/10.1109/MSR.2019.00072,Assessing diffusion and perception of test smells in scala projects,webpage,Test Smell,assertion roulette,Assertion Roulette,,"A test case that contains more than one assertion of which at least one does not provide a reason for assertion failure. In case the test fails, this test smell encumbers identifying which assertion failed and the reason why",TRUE,TRUE,TRUE
Test semantic/logic,Testing many things,https://dl.acm.org/doi/10.1145/3379597.3387471,Did You Remember To Test Your Tokens?,webpage,Test Smell,assertion roulette,Assertion Roulette,,"In test cases affected by this smell, it is hard to tell which of several assertions failed.",TRUE,TRUE,FALSE
Test semantic/logic,Testing many things,https://dl.acm.org/doi/10.1145/3425174.3425212,Refactoring Test Smells: A Perspective from Open-Source Developers,webpage,Test Smell,assertion roulette,Assertion Roulette,,collection of unexplained assertions in a single test method that makes it difficult to trace which exact assertion had a problem in the event of test failure,TRUE,FALSE,FALSE
